qname,Preferred prefix
nidm:NIDM_0000139,nidm_coordinateVectorInVoxels
nidm:NIDM_0000140,nidm_ClusterCenterOfGravity
nidm:NIDM_0000141,nidm_expectedNumberOfClusters
nidm:NIDM_0000142,nidm_expectedNumberOfVerticesPerCluster
nidm:NIDM_0000143,nidm_expectedNumberOfVoxelsPerCluster
nidm:NIDM_0000144,nidm_ReselsPerVoxelMap
nidm:NIDM_0000145,nidm_noiseRoughnessInVoxels
nidm:NIDM_0000146,nidm_heightCriticalThresholdFDR05
nidm:NIDM_0000147,nidm_heightCriticalThresholdFWE05
nidm:NIDM_0000148,nidm_reselSizeInVoxels
nidm:NIDM_0000149,nidm_searchVolumeInResels
nidm:NIDM_0000150,nidm_LinearSplineBasisSet
nidm:NIDM_0000151,nidm_SineBasisSet
nidm:NIDM_0000156,nidm_clusterSizeInResels
nidm:NIDM_0000157,nidm_noiseFWHMInUnits
nidm:NIDM_0000158,nidm_noiseFWHMInVertices
nidm:NIDM_0000159,nidm_noiseFWHMInVoxels
nidm:NIDM_0000160,nidm_PValueUncorrected
nidm:NIDM_0000161,nidm_equivalentThreshold
nidm:NIDM_0000162,nidm_Threshold
nidm:NIDM_0000163,nidm_ContrastExplainedMeanSquareMap
nidm:NIDM_0000164,nidm_NeuroimagingAnalysisSoftware
nidm:NIDM_0000165,nidm_NIDMResultsExporter
nidm:NIDM_0000166,nidm_NIDMResultsExport
nidm:NIDM_0000167,nidm_nidmfsl
nidm:NIDM_0000168,nidm_spm_results_nidm
nidm:NIDM_0000169,nidm_Data
nidm:NIDM_0000170,nidm_groupName
nidm:NIDM_0000171,nidm_numberOfSubjects
nidm:NIDM_0000172,nidm_hasMRIProtocol
spm:SPM_0000001,spm_SPMsDriftCutoffPeriod
spm:SPM_0000002,spm_DCTDriftModel
spm:SPM_0000003,spm_SPMsDispersionDerivative
spm:SPM_0000004,spm_SPMsCanonicalHRF
spm:SPM_0000005,spm_PartialConjunctionInference
spm:SPM_0000006,spm_SPMsTemporalDerivative
spm:SPM_0000007,spm_noiseFWHMInUnits
spm:SPM_0000008,spm_noiseFWHMInVertices
spm:SPM_0000009,spm_noiseFWHMInVoxels
spm:SPM_0000010,spm_searchVolumeReselsGeometry
spm:SPM_0000011,spm_smallestSignificantClusterSizeInVerticesFDR05
spm:SPM_0000012,spm_smallestSignificantClusterSizeInVerticesFWE05
spm:SPM_0000013,spm_smallestSignificantClusterSizeInVoxelsFDR05
spm:SPM_0000014,spm_smallestSignificantClusterSizeInVoxelsFWE05
spm:SPM_0000015,spm_partialConjunctionDegree
prv:PropertyReification,prv_PropertyReification
prv:object_property,prv_hasobjectproperty
prv:reification_class,prv_hasreificationclass
prv:shortcut,prv_hasshortcut
prv:shortcut_property,prv_hasshortcutproperty
prv:subject_property,prv_hassubjectproperty
src:SCR_002823,src_FSL
src:SCR_007037,src_SPM
nlx:birnlex_2094,nlx_Imaginginstrument
nlx:birnlex_2100,nlx_Magneticresonanceimagingscanner
nlx:birnlex_2177,nlx_MRIprotocol
nlx:birnlex_2250,nlx_FunctionalMRIprotocol
nlx:birnlex_2251,nlx_StructuralMRIprotocol
nlx:ixl_0050000,nlx_Positronemissiontomographyscanner
nlx:ixl_0050001,nlx_Singlephotonemissioncomputedtomographyscanner
nlx:ixl_0050002,nlx_Magnetoencephalographymachine
nlx:ixl_0050003,nlx_Electroencephalographymachine
nlx:ixl_0050004,nlx_AnatomicalMRIprotocol
nlx:nlx_inv_20090249,nlx_Diffusionweightedimagingprotocol
nfo:fileName,nfo_fileName
prov:Activity,prov_Activity
prov:ActivityInfluence,prov_ActivityInfluence
prov:Agent,prov_Agent
prov:AgentInfluence,prov_AgentInfluence
prov:Association,prov_Association
prov:Attribution,prov_Attribution
prov:Bundle,prov_Bundle
prov:Collection,prov_Collection
prov:Communication,prov_Communication
prov:Delegation,prov_Delegation
prov:Derivation,prov_Derivation
prov:EmptyCollection,prov_EmptyCollection
prov:End,prov_End
prov:Entity,prov_Entity
prov:EntityInfluence,prov_EntityInfluence
prov:Generation,prov_Generation
prov:Influence,prov_Influence
prov:InstantaneousEvent,prov_InstantaneousEvent
prov:Invalidation,prov_Invalidation
prov:Location,prov_Location
prov:Organization,prov_Organization
prov:Person,prov_Person
prov:Plan,prov_Plan
prov:PrimarySource,prov_PrimarySource
prov:Quotation,prov_Quotation
prov:Revision,prov_Revision
prov:Role,prov_Role
prov:SoftwareAgent,prov_SoftwareAgent
prov:Start,prov_Start
prov:Usage,prov_Usage
prov:actedOnBehalfOf,prov_actedOnBehalfOf
prov:activity,prov_activity
prov:agent,prov_agent
prov:alternateOf,prov_alternateOf
prov:atLocation,prov_atLocation
prov:atTime,prov_atTime
prov:endedAtTime,prov_endedAtTime
prov:entity,prov_entity
prov:generated,prov_generated
prov:generatedAtTime,prov_generatedAtTime
prov:hadActivity,prov_hadActivity
prov:hadGeneration,prov_hadGeneration
prov:hadMember,prov_hadMember
prov:hadPlan,prov_hadPlan
prov:hadPrimarySource,prov_hadPrimarySource
prov:hadRole,prov_hadRole
prov:hadUsage,prov_hadUsage
prov:influenced,prov_influenced
prov:influencer,prov_influencer
prov:invalidated,prov_invalidated
prov:invalidatedAtTime,prov_invalidatedAtTime
prov:qualifiedAssociation,prov_qualifiedAssociation
prov:qualifiedAttribution,prov_qualifiedAttribution
prov:qualifiedCommunication,prov_qualifiedCommunication
prov:qualifiedDelegation,prov_qualifiedDelegation
prov:qualifiedDerivation,prov_qualifiedDerivation
prov:qualifiedEnd,prov_qualifiedEnd
prov:qualifiedGeneration,prov_qualifiedGeneration
prov:qualifiedInfluence,prov_qualifiedInfluence
prov:qualifiedInvalidation,prov_qualifiedInvalidation
prov:qualifiedPrimarySource,prov_qualifiedPrimarySource
prov:qualifiedQuotation,prov_qualifiedQuotation
prov:qualifiedRevision,prov_qualifiedRevision
prov:qualifiedStart,prov_qualifiedStart
prov:qualifiedUsage,prov_qualifiedUsage
prov:specializationOf,prov_specializationOf
prov:startedAtTime,prov_startedAtTime
prov:used,prov_used
prov:value,prov_value
prov:wasAssociatedWith,prov_wasAssociatedWith
prov:wasAttributedTo,prov_wasAttributedTo
prov:wasDerivedFrom,prov_wasDerivedFrom
prov:wasEndedBy,prov_wasEndedBy
prov:wasGeneratedBy,prov_wasGeneratedBy
prov:wasInfluencedBy,prov_wasInfluencedBy
prov:wasInformedBy,prov_wasInformedBy
prov:wasInvalidatedBy,prov_wasInvalidatedBy
prov:wasQuotedFrom,prov_wasQuotedFrom
prov:wasRevisionOf,prov_wasRevisionOf
prov:wasStartedBy,prov_wasStartedBy
