qname,Preferred prefix,URI
nidm:NIDM_0000111,nidm_numberOfSupraThresholdClusters,http://purl.org/nidash/nidm#NIDM_0000111
nidm:NIDM_0000112,nidm_numberOfDimensions,http://purl.org/nidash/nidm#NIDM_0000112
nidm:NIDM_0000113,nidm_objectModel,http://purl.org/nidash/nidm#NIDM_0000113
nidm:NIDM_0000114,nidm_pValue,http://purl.org/nidash/nidm#NIDM_0000114
nidm:NIDM_0000115,nidm_pValueFWER,http://purl.org/nidash/nidm#NIDM_0000115
nidm:NIDM_0000116,nidm_pValueUncorrected,http://purl.org/nidash/nidm#NIDM_0000116
nidm:NIDM_0000117,nidm_pixel4connected,http://purl.org/nidash/nidm#NIDM_0000117
nidm:NIDM_0000118,nidm_pixel8connected,http://purl.org/nidash/nidm#NIDM_0000118
nidm:NIDM_0000119,nidm_qValueFDR,http://purl.org/nidash/nidm#NIDM_0000119
nidm:NIDM_0000120,nidm_randomFieldStationarity,http://purl.org/nidash/nidm#NIDM_0000120
nidm:NIDM_0000121,nidm_searchVolumeInVoxels,http://purl.org/nidash/nidm#NIDM_0000121
nidm:NIDM_0000122,nidm_softwareVersion,http://purl.org/nidash/nidm#NIDM_0000122
nidm:NIDM_0000123,nidm_statisticType,http://purl.org/nidash/nidm#NIDM_0000123
nidm:NIDM_0000124,nidm_targetIntensity,http://purl.org/nidash/nidm#NIDM_0000124
nidm:NIDM_0000126,nidm_varianceMapWiseDependence,http://purl.org/nidash/nidm#NIDM_0000126
nidm:NIDM_0000127,nidm_version,http://purl.org/nidash/nidm#NIDM_0000127
nidm:NIDM_0000128,nidm_voxel18connected,http://purl.org/nidash/nidm#NIDM_0000128
nidm:NIDM_0000129,nidm_voxel26connected,http://purl.org/nidash/nidm#NIDM_0000129
nidm:NIDM_0000130,nidm_voxel6connected,http://purl.org/nidash/nidm#NIDM_0000130
nidm:NIDM_0000131,nidm_voxelSize,http://purl.org/nidash/nidm#NIDM_0000131
nidm:NIDM_0000132,nidm_voxelToWorldMapping,http://purl.org/nidash/nidm#NIDM_0000132
nidm:NIDM_0000133,nidm_voxelUnits,http://purl.org/nidash/nidm#NIDM_0000133
nidm:NIDM_0000134,nidm_withEstimationMethod,http://purl.org/nidash/nidm#NIDM_0000134
